HeartRate,Emotion
65,sad
79,neutral
73,neutral
100,happy
99,angry
98,angry
70,neutral
76,fear
60,sad
90,happy
93,happy
100,surprise
85,disgust
82,disgust
72,neutral
74,fear
66,fear
84,angry
90,disgust
90,angry
96,angry
79,sad
84,angry
61,fear
91,happy
64,sad
86,disgust
79,fear
75,disgust
84,surprise
75,fear
95,angry
72,neutral
94,surprise
63,sad
80,sad
94,happy
69,sad
63,fear
82,angry
89,angry
80,neutral
101,happy
101,happy
75,sad
80,fear
108,happy
77,sad
70,disgust
63,sad
85,disgust
104,happy
83,angry
79,fear
86,surprise
78,sad
100,happy
102,happy
85,angry
89,angry
76,sad
75,disgust
89,disgust
67,sad
73,neutral
78,neutral
70,sad
78,disgust
74,neutral
94,happy
85,surprise
62,sad
92,surprise
82,surprise
77,fear
67,sad
76,neutral
82,neutral
87,angry
80,neutral
88,surprise
96,angry
80,sad
86,neutral
76,neutral
81,angry
105,happy
79,neutral
75,neutral
78,fear
80,disgust
69,sad
76,neutral
81,angry
106,happy
98,surprise
72,neutral
79,neutral
70,neutral
68,fear
65,sad
70,neutral
100,happy
85,disgust
70,neutral
93,angry
84,angry
94,happy
76,disgust
106,happy
94,surprise
60,fear
91,happy
85,surprise
61,fear
69,fear
71,disgust
100,angry
93,happy
90,angry
103,happy
76,disgust
77,disgust
83,neutral
69,sad
82,surprise
79,disgust
75,disgust
86,angry
84,angry
105,happy
92,happy
87,angry
64,fear
103,happy
80,disgust
87,neutral
92,happy
73,fear
94,surprise
67,sad
84,surprise
86,angry
72,disgust
86,neutral
76,sad
94,happy
87,surprise
78,neutral
72,sad
91,surprise
81,disgust
86,angry
78,neutral
82,neutral
80,fear
87,angry
99,angry
87,disgust
110,happy
97,angry
81,surprise
88,angry
78,neutral
72,sad
86,neutral
108,happy
98,angry
88,neutral
69,sad
62,sad
83,disgust
81,disgust
81,disgust
76,disgust
75,sad
70,disgust
65,sad
74,sad
96,angry
100,surprise
63,sad
96,angry
81,neutral
90,happy
92,happy
94,angry
99,surprise
86,surprise
83,angry
85,neutral
91,angry
95,happy
90,neutral
88,angry
80,angry
93,surprise
71,sad
78,fear
90,surprise
80,sad
84,disgust
71,neutral
70,disgust
77,sad
84,disgust
101,happy
104,happy
83,angry
82,angry
104,happy
77,fear
78,neutral
82,neutral
70,disgust
75,fear
100,happy
103,happy
65,fear
97,angry
87,surprise
80,surprise
79,fear
85,neutral
94,happy
85,surprise
75,fear
99,angry
78,sad
69,sad
89,neutral
88,disgust
77,neutral
88,surprise
94,angry
101,happy
91,angry
90,disgust
107,happy
89,neutral
107,happy
68,fear
95,surprise
75,fear
78,neutral
71,fear
86,disgust
81,disgust
99,surprise
88,angry
70,fear
95,happy
80,surprise
98,happy
99,surprise
81,surprise
81,surprise
77,disgust
64,sad
77,fear
66,sad
71,disgust
98,happy
108,happy
81,angry
79,disgust
77,neutral
83,surprise
62,sad
78,sad
94,surprise
74,neutral
78,disgust
87,angry
104,happy
99,surprise
85,disgust
74,fear
85,disgust
64,fear
98,happy
91,angry
96,angry
84,surprise
83,angry
69,fear
72,neutral
90,happy
82,neutral
83,angry
88,surprise
77,sad
89,angry
99,happy
62,fear
81,surprise
98,happy
89,surprise
97,angry
89,neutral
80,disgust
84,neutral
98,happy
61,fear
93,happy
81,angry
99,angry
83,surprise
79,sad
86,neutral
71,neutral
83,surprise
85,angry
93,surprise
75,disgust
77,neutral
98,surprise
71,fear
92,happy
75,sad
107,happy
73,neutral
73,sad
67,fear
83,angry
75,fear
83,neutral
61,sad
71,fear
67,sad
96,surprise
62,sad
83,disgust
71,fear
68,sad
72,neutral
90,surprise
73,fear
100,angry
83,disgust
98,surprise
69,fear
96,angry
81,surprise
66,sad
66,fear
72,sad
100,surprise
69,sad
78,sad
80,angry
72,disgust
93,angry
79,fear
75,disgust
61,sad
